110036000110.0;—11х36;ГОСТ 103-2006;3.109
110036000120.0;—12х36;ГОСТ 103-2006;3.391
110036000140.0;—14х36;ГОСТ 103-2006;3.956
110036000160.0;—16х36;ГОСТ 103-2006;4.522
110036000180.0;—18х36;ГОСТ 103-2006;5.087
110036000200.0;—20х36;ГОСТ 103-2006;5.652
110036000220.0;—22х36;ГОСТ 103-2006;6.217
110036000250.0;—25х36;ГОСТ 103-2006;7.065
110036000280.0;—28х36;ГОСТ 103-2006;7.913
110036000300.0;—30х36;ГОСТ 103-2006;8.478
110040000040.0;—4х40;ГОСТ 103-2006;1.256
110040000050.0;—5х40;ГОСТ 103-2006;1.57
110040000060.0;—6х40;ГОСТ 103-2006;1.884
110040000070.0;—7х40;ГОСТ 103-2006;2.198
110040000080.0;—8х40;ГОСТ 103-2006;2.512
110040000090.0;—9х40;ГОСТ 103-2006;2.826
110040000100.0;—10х40;ГОСТ 103-2006;3.14
110040000110.0;—11х40;ГОСТ 103-2006;3.454
110040000120.0;—12х40;ГОСТ 103-2006;3.768
110040000140.0;—14х40;ГОСТ 103-2006;4.396
110040000150.0;—15х40;ГОСТ 103-2006;4.71
110040000160.0;—16х40;ГОСТ 103-2006;5.024
110040000180.0;—18х40;ГОСТ 103-2006;5.652
110040000200.0;—20х40;ГОСТ 103-2006;6.28
110040000220.0;—22х40;ГОСТ 103-2006;6.908
110040000250.0;—25х40;ГОСТ 103-2006;7.85
110040000280.0;—28х40;ГОСТ 103-2006;8.792
110040000300.0;—30х40;ГОСТ 103-2006;9.42
110040000320.0;—32х40;ГОСТ 103-2006;10.048
110045000040.0;—4х45;ГОСТ 103-2006;1.413
110045000050.0;—5х45;ГОСТ 103-2006;1.766
110045000060.0;—6х45;ГОСТ 103-2006;2.12
110045000070.0;—7х45;ГОСТ 103-2006;2.473
110045000080.0;—8х45;ГОСТ 103-2006;2.826
110045000090.0;—9х45;ГОСТ 103-2006;3.179
110045000100.0;—10х45;ГОСТ 103-2006;3.533
110045000110.0;—11х45;ГОСТ 103-2006;3.886
110045000120.0;—12х45;ГОСТ 103-2006;4.239
110045000140.0;—14х45;ГОСТ 103-2006;4.946
110045000150.0;—15х45;ГОСТ 103-2006;5.299
110045000160.0;—16х45;ГОСТ 103-2006;5.652
